循環,迴圈,子循環,子迴圈,MR編號,子配方編號,工步編號,工步,工步種類,日期時間,工步執行時間(秒),工步時間,截止電壓(V),截止電流(A),能量(Wh),截止電量(Ah),功率(W),充電電量(Ah),放電電量(Ah),充電能量(Wh),放電能量(Wh),總電量(Ah),截止Q(%),狀態,Aux T1,溫箱溫度,Aux T2,Aux T3,恆電流段電量(Ah),平均電壓(V),Var01,Var02,Var03,Var04,SOC
1,1,1,1,1,1,29,37,靜置,09/06/2024 12:45:43,14400,00:04:00:00.000,3.535846,0,0,0,0,63.05257,56.24357,208.9298,176.6324,6.809004,0,StepFinishByCut_T,-29.39,-31.5,25.27,25.53,-600000,0,9.113585,0,0,0,100%
1,1,1,1,1,1,30,38,CC放電,09/06/2024 16:45:43,3515.099,00:00:58:35.099,2,-8.02186,-21.54475,-7.833312,-16.04372,63.05257,64.07688,208.9298,198.1771,-1.024308,0,StepFinishByCut_V,-22.5,-31.5,25.3,25.58,-600000,2.750401,9.113585,0,0,0,14%
1,1,1,1,1,1,31,39,溫箱控制,09/06/2024 17:44:18,3002.033,00:00:50:02.033,3.21683,0,0,0,0,63.05257,64.07688,208.9298,198.1771,-1.024308,0,StepRunning,23.69,24,25.54,25.79,-600000,0,9.113585,0,0,0,14%
1,1,1,1,1,1,32,40,靜置,09/06/2024 18:34:20,10800,00:03:00:00.000,3.217084,0,0,0,0,63.05257,64.07688,208.9298,198.1771,-1.024308,0,StepFinishByCut_T,24.71,24,24.98,25.15,-600000,0,9.113585,0,0,0,14%
1,1,1,1,1,1,33,41,CC-CV充電,09/06/2024 21:34:20,3617.982,00:01:00:17.982,3.600062,0.399933,26.12885,7.830966,1.439784,70.88354,64.07688,235.0587,198.1771,6.806659,0,StepFinishByCut_I,25.07,24,25.14,25.26,7.795372,3.336607,9.113585,0,0,0,100%
1,1,1,1,1,1,34,42,溫箱控制,09/06/2024 22:34:38,3001.276,00:00:50:01.276,3.508955,0,0,0,0,70.88354,64.07688,235.0587,198.1771,6.806659,0,StepRunning,45.43,46,25.26,25.38,-600000,0,9.113585,0,0,0,100%
1,1,1,1,1,1,35,43,靜置,09/06/2024 23:24:39,10800,00:03:00:00.000,3.47646,0,0,0,0,70.88354,64.07688,235.0587,198.1771,6.806659,0,StepFinishByCut_T,45.89,46,24.76,25.01,-600000,0,9.113585,0,0,0,100%
1,1,1,1,1,1,36,44,CC放電,09/07/2024 02:24:39,4076.595,00:01:07:56.595,1.999993,-8.022269,-29.40051,-9.084891,-16.04449,70.88354,73.16177,235.0587,227.5776,-2.278233,0,StepFinishByCut_V,46.62,46,24.42,24.68,-600000,3.236199,9.113585,0,0,0,0%
1,1,1,1,1,1,37,45,溫箱控制,09/07/2024 03:32:36,3000.673,00:00:50:00.673,2.664619,0,0,0,0,70.88354,73.16177,235.0587,227.5776,-2.278233,0,StepRunning,25.22,24,24.65,24.88,-600000,0,9.113585,0,0,0,0%
1,1,1,1,1,1,38,46,靜置,09/07/2024 04:22:37,10800,00:03:00:00.000,2.696891,0,0,0,0,70.88354,73.16177,235.0587,227.5776,-2.278233,0,StepFinishByCut_T,24.71,24,24.26,24.46,-600000,0,9.113585,0,0,0,0%
1,1,1,1,1,1,39,47,CC-CV充電,09/07/2024 07:22:37,4362.902,00:01:12:42.902,3.600039,0.398782,30.08049,9.077429,1.435632,79.96097,73.16177,265.1392,227.5776,6.799196,0,StepFinishByCut_I,25.07,24,24.4,24.66,8.950988,3.313768,9.113585,0,0,0,100%
1,1,1,1,1,1,40,48,溫箱控制,09/07/2024 08:35:20,3602.319,00:01:00:02.319,3.459412,0,0,0,0,79.96097,73.16177,265.1392,227.5776,6.799196,0,StepRunning,60.21,61.5,23.95,24.24,-600000,0,9.113585,0,0,0,100%
1,1,1,1,1,1,41,49,靜置,09/07/2024 09:35:22,10800,00:03:00:00.000,3.429832,0,0,0,0,79.96097,73.16177,265.1392,227.5776,6.799196,0,StepFinishByCut_T,60.73,61.5,24,24.18,-600000,0,9.113585,0,0,0,100%
1,1,1,1,1,1,42,50,CC放電,09/07/2024 12:35:22,4058.774,00:01:07:38.774,1.999983,-8.02357,-29.28315,-9.044857,-16.047,79.96097,82.20663,265.1392,256.8608,-2.245661,0,StepFinishByCut_V,61.43,61.5,24.05,24.37,-600000,3.237547,9.113585,0,0,0,0%
1,1,1,1,1,1,43,51,溫箱控制,09/07/2024 13:43:01,3002.504,00:00:50:02.504,2.653681,0,0,0,0,79.96097,82.20663,265.1392,256.8608,-2.245661,0,StepRunning,25.75,24,24.38,24.68,-600000,0,9.113585,0,0,0,0%
1,1,1,1,1,1,44,52,靜置,09/07/2024 14:33:03,10800,00:03:00:00.000,2.680541,0,0,0,0,79.96097,82.20663,265.1392,256.8608,-2.245661,0,StepFinishByCut_T,24.69,24,24.23,24.45,-600000,0,9.113585,0,0,0,0%
1,1,1,1,1,1,45,53,CC-CV充電,09/07/2024 17:33:03,4393.312,00:01:13:13.312,3.60006,0.398424,30.00088,9.050672,1.434352,89.01164,82.20663,295.14,256.8608,6.80501,0,StepFinishByCut_I,25.04,24,24.21,24.4,8.899026,3.314768,9.113585,0,0,0,100%
1,1,1,1,1,1,46,54,靜置,09/07/2024 18:46:17,1800,00:00:30:00.000,3.475108,0,0,0,0,89.01164,82.20663,295.14,256.8608,6.80501,0,StepFinishByCut_T,24.72,24,24.05,24.25,-600000,0,9.113585,0,0,0,100%
1,1,1,1,1,1,47,55,CC放電,09/07/2024 19:16:17,2863.02,00:00:47:43.020,3.230199,-8.02306,-20.90357,-6.379511,-25.91608,89.01164,88.58614,295.14,277.7643,0.425499,0,StepFinishByFunction,24.92,24,24.31,24.52,-600000,3.276673,9.113585,0,0,0,30%
1,1,1,1,1,1,48,56,靜置,09/07/2024 20:04:00,1800,00:00:30:00.000,3.257559,0,0,0,0,89.01164,88.58614,295.14,277.7643,0.425499,0,StepFinishByCut_T,24.7,24,24.21,24.5,-600000,0,9.113585,0,0,0,30%
1,1,1,1,1,2,1,57,靜置,09/07/2024 20:34:00,300,00:00:05:00.000,3.257756,0,0,0,0,0,0,0,0,0,0,StepFinishByCut_T,24.72,24,24.1,24.28,-600000,0,0,0,0,0,
1,1,1,1,1,2,2,58,溫箱控制,09/07/2024 20:39:00,2402.571,00:00:40:02.571,3.258509,0,0,0,0,0,0,0,0,0,0,StepRunning,24.7,24,24.01,24.35,-600000,0,0,0,0,0,
1,1,1,1,1,2,3,59,CC放電,09/07/2024 21:19:03,1204.678,00:00:20:04.678,1.999977,-8.022771,-8.35585,-2.684723,-16.04535,0,2.684723,0,8.35585,-2.684723,0,StepFinishByCut_V,25.38,24,24.01,24.3,-600000,3.11237,0,0,0,0,0%
1,1,1,1,1,2,4,60,靜置,09/07/2024 21:39:07,1800,00:00:30:00.000,2.58126,0,0,0,0,0,2.684723,0,8.35585,-2.684723,0,StepFinishByCut_T,24.75,24,24.01,24.14,-600000,0,0,0,0,0,0%
1,1,1,1,1,2,5,61,CC-CV充電,09/07/2024 22:09:07,4251.818,00:01:10:51.818,3.60006,0.399997,30.02931,9.079494,1.440014,9.079494,2.684723,30.02931,8.35585,6.394771,0,StepFinishByCut_I,25.01,24,24.03,24.21,9.011636,3.307377,0,0,0,0,100%
1,1,1,1,1,2,6,62,靜置,09/07/2024 23:19:59,1800,00:00:30:00.000,3.510618,0,0,0,0,9.079494,2.684723,30.02931,8.35585,6.394771,0,StepFinishByCut_T,24.7,24,23.68,23.97,-600000,0,0,0,0,0,100%
1,1,1,1,1,2,7,63,CC放電,09/07/2024 23:49:59,4074.069,00:01:07:54.069,1.999981,-8.023057,-29.31344,-9.079137,-16.04596,9.079494,11.76386,30.02931,37.66929,-2.684366,0,StepFinishByCut_V,25.42,24,23.77,24.03,-600000,3.228659,9.079137,0,0,0,0%
1,1,1,1,1,2,8,64,靜置,09/08/2024 00:57:53,1800,00:00:30:00.000,2.590576,0,0,0,0,9.079494,11.76386,30.02931,37.66929,-2.684366,0,StepFinishByCut_T,24.71,24,24.44,24.6,-600000,0,9.079137,0,0,0,0%
1,1,1,2,1,2,5,65,CC-CV充電,09/08/2024 01:27:53,4230.245,00:01:10:30.245,3.600022,0.399675,30.02396,9.079213,1.43884,18.15871,11.76386,60.05327,37.66929,6.394847,0,StepFinishByCut_I,25.04,24,23.85,24.02,9.021195,3.30689,9.079137,0,0,0,100%
1,1,1,2,1,2,6,66,靜置,09/08/2024 02:38:24,1800,00:00:30:00.000,3.519495,0,0,0,0,18.15871,11.76386,60.05327,37.66929,6.394847,0,StepFinishByCut_T,24.71,24,24.27,24.33,-600000,0,9.079137,0,0,0,100%
1,1,1,2,1,2,7,67,CC放電,09/08/2024 03:08:24,4075.957,00:01:07:55.957,1.999979,-8.021867,-29.32793,-9.08314,-16.04356,18.15871,20.847,60.05327,66.99722,-2.688293,0,StepFinishByCut_V,25.4,24,23.9,24.2,-600000,3.228831,9.08314,0,0,0,0%
1,1,1,2,1,2,8,68,靜置,09/08/2024 04:16:20,1800,00:00:30:00.000,2.589295,0,0,0,0,18.15871,20.847,60.05327,66.99722,-2.688293,0,StepFinishByCut_T,24.72,24,23.82,24.05,-600000,0,9.08314,0,0,0,0%
1,1,1,1,1,2,9,69,CC-CV充電,09/08/2024 04:46:20,4229.129,00:01:10:29.129,3.600056,0.398533,30.02394,9.079539,1.434742,27.23825,20.847,90.07722,66.99722,6.391246,0,StepFinishByCut_I,25.02,24,23.83,24.1,9.022714,3.30677,9.08314,0,0,0,100%
1,1,1,1,1,2,10,70,靜置,09/08/2024 05:56:49,1800,00:00:30:00.000,3.522576,0,0,0,0,27.23825,20.847,90.07722,66.99722,6.391246,0,StepFinishByCut_T,24.71,24,23.83,24.1,-600000,0,9.08314,0,0,0,100%
1,1,1,1,1,2,11,71,CC放電,09/08/2024 06:26:49,814.014,00:00:13:34.014,1.999807,-40.01786,-28.7921,-9.048628,-80.02798,27.23825,29.89563,90.07722,95.78932,-2.657382,0,StepFinishByCut_V,27.55,24,23.88,24.1,-600000,3.18193,9.08314,0,0,0,0%
1,1,1,1,1,2,12,72,靜置,09/08/2024 06:40:23,1800,00:00:30:00.000,2.687672,0,0,0,0,27.23825,29.89563,90.07722,95.78932,-2.657382,0,StepFinishByCut_T,24.74,24,23.71,23.92,-600000,0,9.08314,0,0,0,0%
1,1,1,1,1,2,13,73,CC-CV充電,09/08/2024 07:10:23,4161.02,00:01:09:21.020,3.600048,0.399787,29.94227,9.053254,1.439251,36.2915,29.89563,120.0195,95.78932,6.395871,0,StepFinishByCut_I,25.05,24,24.63,24.77,9.02076,3.307349,9.08314,0,0,0,100%
1,1,1,1,1,2,14,74,靜置,09/08/2024 08:19:44,1800,00:00:30:00.000,3.538048,0,0,0,0,36.2915,29.89563,120.0195,95.78932,6.395871,0,StepFinishByCut_T,24.7,24,23.96,24.19,-600000,0,9.08314,0,0,0,100%
1,1,1,1,1,2,15,75,CC放電,09/08/2024 08:49:44,406.51,00:00:06:46.510,1.999705,-80.04406,-28.31568,-9.038524,-160.0645,36.2915,38.93415,120.0195,124.105,-2.642652,0,StepFinishByCut_V,30.24,24,23.99,24.18,-600000,3.132777,9.08314,0,0,0,1%
1,1,1,1,1,2,16,76,靜置,09/08/2024 08:56:30,1800,00:00:30:00.000,2.72051,0,0,0,0,36.2915,38.93415,120.0195,124.105,-2.642652,0,StepFinishByCut_T,24.78,24,24.12,24.45,-600000,0,9.08314,0,0,0,1%
1,1,1,1,1,2,17,77,CC-CV充電,09/08/2024 09:26:30,4144.66,00:01:09:04.660,3.600037,0.399832,29.89875,9.03828,1.439408,45.32978,38.93415,149.9182,124.105,6.395627,0,StepFinishByCut_I,25.05,24,24.05,24.23,9.00922,3.308013,9.08314,0,0,0,100%
1,1,1,1,1,2,18,78,靜置,09/08/2024 10:35:35,1800,00:00:30:00.000,3.540927,0,0,0,0,45.32978,38.93415,149.9182,124.105,6.395627,0,StepFinishByCut_T,24.71,24,24.07,24.16,-600000,0,9.08314,0,0,0,100%
1,1,1,1,1,2,19,79,CC放電,09/08/2024 11:05:35,202.794,00:00:03:22.794,1.999639,-160.1043,-27.49944,-9.018919,-320.1508,45.32978,47.95307,149.9182,151.6044,-2.623291,0,StepFinishByCut_V,34.76,24.1,23.96,24.21,-600000,3.049084,9.08314,0,0,0,1%
1,1,1,1,1,2,20,80,靜置,09/08/2024 11:08:58,1800,00:00:30:00.000,2.757433,0,0,0,0,45.32978,47.95307,149.9182,151.6044,-2.623291,0,StepFinishByCut_T,24.83,24,24.08,24.25,-600000,0,9.08314,0,0,0,1%
1,1,1,1,1,2,21,81,CC-CV充電,09/08/2024 11:38:58,4137.873,00:01:08:57.873,3.600054,0.399948,29.84289,9.018242,1.439834,54.34802,47.95307,179.7611,151.6044,6.394951,0,StepFinishByCut_I,25.04,24,24.38,24.57,8.98893,3.30917,9.08314,0,0,0,100%
1,1,1,1,1,2,22,82,靜置,09/08/2024 12:47:56,1800,00:00:30:00.000,3.542911,0,0,0,0,54.34802,47.95307,179.7611,151.6044,6.394951,0,StepFinishByCut_T,24.72,24,23.67,23.95,-600000,0,9.08314,0,0,0,100%
1,1,1,1,1,2,23,83,CC放電,09/08/2024 13:17:56,134.849,00:00:02:14.849,1.999616,-240.0809,-26.73797,-8.993449,-480.0695,54.34802,56.94652,179.7611,178.3424,-2.598498,0,StepFinishByCut_V,38.35,24.1,23.86,23.92,-600000,2.973049,9.08314,0,0,0,1%
1,1,1,1,1,2,24,84,靜置,09/08/2024 13:20:11,1800,00:00:30:00.000,2.796172,0,0,0,0,54.34802,56.94652,179.7611,178.3424,-2.598498,0,StepFinishByCut_T,24.92,24,23.77,24,-600000,0,9.08314,0,0,0,1%
1,1,1,1,1,2,25,85,CC-CV充電,09/08/2024 13:50:11,4128.355,00:01:08:48.355,3.600031,0.399976,29.76946,8.992137,1.439925,63.34016,56.94652,209.5306,178.3424,6.393639,0,StepFinishByCut_I,25.06,24,23.96,24.14,8.961503,3.31061,9.08314,0,0,0,100%
1,1,1,1,1,2,26,86,靜置,09/08/2024 14:58:59,1800,00:00:30:00.000,3.541789,0,0,0,0,63.34016,56.94652,209.5306,178.3424,6.393639,0,StepFinishByCut_T,24.72,24,23.55,23.77,-600000,0,9.08314,0,0,0,100%
1,1,1,1,1,2,27,87,CC放電,09/08/2024 15:28:59,107.511,00:00:01:47.511,1.999906,-300.0761,-26.14475,-8.961738,-600.1241,63.34016,65.90826,209.5306,204.4872,-2.568099,0,StepFinishByCut_V,40.63,24.1,23.7,23.84,-600000,2.917375,9.08314,0,0,0,1%
1,1,1,1,1,2,28,88,靜置,09/08/2024 15:30:47,1800,00:00:30:00.000,2.835889,0,0,0,0,63.34016,65.90826,209.5306,204.4872,-2.568099,0,StepFinishByCut_T,24.93,24,24.05,24.13,-600000,0,9.08314,0,0,0,1%
1,1,1,1,1,2,29,89,CC放電,09/08/2024 16:00:47,70.832,00:00:01:10.832,1.999987,-8.021645,-0.40884,-0.157842,-16.04319,63.34016,66.0661,209.5306,204.896,-2.72594,0,StepFinishByCut_V,25.01,24,23.98,24.17,-600000,2.590191,9.08314,0,0,0,0%
1,1,1,1,1,2,30,90,靜置,09/08/2024 16:01:58,1800,00:00:30:00.000,2.395284,0,0,0,0,63.34016,66.0661,209.5306,204.896,-2.72594,0,StepFinishByCut_T,24.71,24,24.1,24.27,-600000,0,9.08314,0,0,0,0%
1,1,1,1,1,2,31,91,CC-CV充電,09/08/2024 16:31:58,4206.044,00:01:10:06.044,3.60006,0.399437,30.11837,9.11643,1.437997,72.45659,66.0661,239.649,204.896,6.39049,0,StepFinishByCut_I,25.05,24,23.87,24.01,9.076862,3.303746,9.08314,0,0,0,100%
1,1,1,1,1,2,32,92,靜置,09/08/2024 17:42:04,1800,00:00:30:00.000,3.535737,0,0,0,0,72.45659,66.0661,239.649,204.896,6.39049,0,StepFinishByCut_T,24.71,24,23.82,24.07,-600000,0,9.08314,0,0,0,100%
1,1,1,1,1,2,33,93,CC放電,09/08/2024 18:12:04,4077.708,00:01:07:57.708,1.999987,-8.020164,-29.34422,-9.086612,-16.04023,72.45659,75.15271,239.649,234.2402,-2.696122,0,StepFinishByCut_V,25.43,24,23.57,23.93,-600000,3.229391,9.08314,0,0,0,0%
1,1,1,1,1,2,34,94,靜置,09/08/2024 19:20:02,1800,00:00:30:00.000,2.580101,0,0,0,0,72.45659,75.15271,239.649,234.2402,-2.696122,0,StepFinishByCut_T,24.73,24,24.11,24.29,-600000,0,9.08314,0,0,0,0%
1,1,1,1,1,2,35,95,CC-CV充電,09/08/2024 19:50:02,1042.276,00:00:17:22.276,3.600043,0.399427,30.45918,9.081212,1.437953,81.5378,75.15271,270.1082,234.2402,6.38509,0,StepFinishByCut_I,26.56,24,24.16,24.44,8.803162,3.354088,9.08314,0,0,0,100%
1,1,1,1,1,2,36,96,靜置,09/08/2024 20:07:24,1800,00:00:30:00.000,3.530215,0,0,0,0,81.5378,75.15271,270.1082,234.2402,6.38509,0,StepFinishByCut_T,24.72,24,23.86,24.05,-600000,0,9.08314,0,0,0,100%
1,1,1,1,1,2,37,97,CC放電,09/08/2024 20:37:24,4079.152,00:01:07:59.152,2,-8.021134,-29.35664,-9.090355,-16.04227,81.5378,84.24306,270.1082,263.5969,-2.705265,0,StepFinishByCut_V,25.4,24,23.83,24.09,-600000,3.229427,9.08314,0,0,0,0%
