循環,迴圈,子循環,子迴圈,MR編號,子配方編號,工步編號,工步,工步種類,日期時間,工步執行時間(秒),工步時間,截止電壓(V),截止電流(A),能量(Wh),截止電量(Ah),功率(W),充電電量(Ah),放電電量(Ah),充電能量(Wh),放電能量(Wh),總電量(Ah),截止Q(%),狀態,Aux T1,溫箱溫度,Aux T2,Aux T3
1,1,1,1,1,1,15,19,CC放電,04/01/2025 03:04:00,1727.115,00:00:28:47.115,3.901802,-1.996665,-3.764462,-0.957619,-7.79059,34.83986,39.62251,129.8979,146.6602,-4.782647,0,StepFinishByFunction,-4.35,-5.5,-4.67,-4.9
1,1,1,2,1,1,10,20,靜置,04/01/2025 03:32:47,3600,00:01:00:00.000,3.914959,0,0,0,0,34.83986,39.62251,129.8979,146.6602,-4.782647,0,StepFinishByCut_T,-4.32,-5.5,-4.63,-4.84
1,1,1,2,1,1,11,21,超級CP充電,04/01/2025 04:32:47,9.805,00:00:00:09.805,4.399974,252.5957,3.026932,0.695682,1111.415,35.53554,39.62251,132.9249,146.6602,-4.086966,0,StepFinishByCut_V,-4.33,-5.5,-4.65,-4.85
1,1,1,2,1,1,12,22,靜置,04/01/2025 04:33:07,600,00:00:10:00.000,3.959599,0,0,0,0,35.53554,39.62251,132.9249,146.6602,-4.086966,0,StepFinishByCut_T,-4.28,-5.5,-4.62,-4.85
1,1,1,2,1,1,13,23,CC放電,04/01/2025 04:43:07,1255.195,00:00:20:55.195,3.904042,-1.997154,-2.733065,-0.695682,-7.796973,35.53554,40.31819,132.9249,149.3933,-4.782648,0,StepFinishByFunction,-4.3,-5.5,-4.66,-4.85
1,1,1,2,1,1,14,24,靜置,04/01/2025 05:04:02,600,00:00:10:00.000,3.913189,0,0,0,0,35.53554,40.31819,132.9249,149.3933,-4.782648,0,StepFinishByCut_T,-4.3,-5.5,-4.68,-4.87
1,1,1,2,1,1,15,25,CC放電,04/01/2025 05:14:02,1726.338,00:00:28:46.338,3.845097,-1.998068,-3.710635,-0.957619,-7.682766,35.53554,41.27581,132.9249,153.1039,-5.740267,0,StepFinishByFunction,-4.29,-5.5,-4.63,-4.85
1,1,1,3,1,1,10,26,靜置,04/01/2025 05:42:48,3600,00:01:00:00.000,3.86455,0,0,0,0,35.53554,41.27581,132.9249,153.1039,-5.740267,0,StepFinishByCut_T,-4.38,-5.5,-4.69,-4.91
1,1,1,3,1,1,11,27,超級CP充電,04/01/2025 06:42:48,10,00:00:00:10.000,4.351266,255.3944,3.087105,0.717179,1111.289,36.25272,41.27581,136.0119,153.1039,-5.023088,0,StepFinishByCut_T,-4.38,-5.5,-4.66,-4.91
1,1,1,3,1,1,12,28,靜置,04/01/2025 06:43:08,600,00:00:10:00.000,3.910089,0,0,0,0,36.25272,41.27581,136.0119,153.1039,-5.023088,0,StepFinishByCut_T,-4.39,-5.5,-4.65,-4.9
1,1,1,3,1,1,13,29,CC放電,04/01/2025 06:53:08,1292.788,00:00:21:32.788,3.851271,-1.997606,-2.781826,-0.717179,-7.693322,36.25272,41.99298,136.0119,155.8857,-5.740267,0,StepFinishByFunction,-4.36,-5.5,-4.68,-4.96
1,1,1,3,1,1,14,30,靜置,04/01/2025 07:14:41,600,00:00:10:00.000,3.861835,0,0,0,0,36.25272,41.99298,136.0119,155.8857,-5.740267,0,StepFinishByCut_T,-4.38,-5.5,-4.74,-4.9
1,1,1,3,1,1,15,31,CC放電,04/01/2025 07:24:41,1725.397,00:00:28:45.397,3.781718,-1.99809,-3.654503,-0.957619,-7.556211,36.25272,42.9506,136.0119,159.5402,-6.697886,0,StepFinishByFunction,-4.37,-5.5,-4.68,-4.93
1,1,1,1,1,1,16,32,靜置,04/01/2025 07:53:27,3600,00:01:00:00.000,3.798083,0,0,0,0,36.25272,42.9506,136.0119,159.5402,-6.697886,0,StepFinishByCut_T,-4.31,-5.5,-4.63,-4.87
1,1,1,1,1,1,17,33,超級CP放電,04/01/2025 08:53:27,10,00:00:00:10.000,3.176634,-349.8743,-3.087237,-0.953201,-1111.422,36.25272,43.9038,136.0119,162.6275,-7.651088,0,StepFinishByCut_T,-4.33,-5.5,-4.63,-4.86
1,1,1,1,1,1,18,34,靜置,04/01/2025 08:53:47,600,00:00:10:00.000,3.737911,0,0,0,0,36.25272,43.9038,136.0119,162.6275,-7.651088,0,StepFinishByCut_T,-4.4,-5.5,-4.71,-4.93
1,1,1,1,1,1,19,35,CC充電,04/01/2025 09:03:47,1702.583,00:00:28:22.583,3.814862,2.014913,3.601012,0.953202,7.686613,37.20592,43.9038,139.613,162.6275,-6.697886,0,StepFinishByFunction,-4.35,-5.5,-4.62,-4.89
1,1,1,1,1,1,20,36,靜置,04/01/2025 09:32:09,600,00:00:10:00.000,3.807877,0,0,0,0,37.20592,43.9038,139.613,162.6275,-6.697886,0,StepFinishByCut_T,-4.38,-5.5,-4.77,-4.91
1,1,1,1,1,1,21,37,CC放電,04/01/2025 09:42:09,1725.977,00:00:28:45.977,3.729848,-1.996603,-3.600499,-0.957619,-7.447028,37.20592,44.86143,139.613,166.228,-7.655505,0,StepFinishByFunction,-4.39,-5.6,-4.71,-4.94
1,1,1,2,1,1,16,38,靜置,04/01/2025 10:10:55,3600,00:01:00:00.000,3.739492,0,0,0,0,37.20592,44.86143,139.613,166.228,-7.655505,0,StepFinishByCut_T,-4.36,-5.5,-4.68,-4.88
1,1,1,2,1,1,17,39,超級CP放電,04/01/2025 11:10:55,10,00:00:00:10.000,3.120509,-356.1567,-3.087293,-0.971282,-1111.39,37.20592,45.83271,139.613,169.3153,-8.626788,0,StepFinishByCut_T,-4.36,-5.5,-4.65,-4.88
1,1,1,2,1,1,18,40,靜置,04/01/2025 11:11:15,600,00:00:10:00.000,3.695363,0,0,0,0,37.20592,45.83271,139.613,169.3153,-8.626788,0,StepFinishByCut_T,-4.33,-5.5,-4.6,-4.89
1,1,1,2,1,1,19,41,CC充電,04/01/2025 11:21:15,1734.428,00:00:28:54.428,3.756432,2.017552,3.621497,0.971283,7.578795,38.1772,45.83271,143.2345,169.3153,-7.655505,0,StepFinishByFunction,-4.27,-5.5,-4.6,-4.78
1,1,1,2,1,1,20,42,靜置,04/01/2025 11:50:10,600,00:00:10:00.000,3.749858,0,0,0,0,38.1772,45.83271,143.2345,169.3153,-7.655505,0,StepFinishByCut_T,-4.2,-5.4,-4.53,-4.75
1,1,1,2,1,1,21,43,CC放電,04/01/2025 12:00:10,1726.283,00:00:28:46.283,3.688786,-1.998871,-3.555396,-0.957619,-7.373408,38.1772,46.79033,143.2345,172.8707,-8.613124,0,StepFinishByFunction,-4.35,-5.5,-4.64,-4.88
1,1,1,3,1,1,16,44,靜置,04/01/2025 12:28:56,3600,00:01:00:00.000,3.698354,0,0,0,0,38.1772,46.79033,143.2345,172.8707,-8.613124,0,StepFinishByCut_T,-4.31,-5.5,-4.64,-4.87
1,1,1,3,1,1,17,45,超級CP放電,04/01/2025 13:28:56,10,00:00:00:10.000,3.073657,-361.625,-3.087274,-0.986257,-1111.511,38.1772,47.77658,143.2345,175.9579,-9.599381,0,StepFinishByCut_T,-4.35,-5.5,-4.62,-4.89
1,1,1,3,1,1,18,46,靜置,04/01/2025 13:29:16,600,00:00:10:00.000,3.662697,0,0,0,0,38.1772,47.77658,143.2345,175.9579,-9.599381,0,StepFinishByCut_T,-4.27,-5.5,-4.53,-4.86
1,1,1,3,1,1,19,47,CC充電,04/01/2025 13:39:16,1761.628,00:00:29:21.628,3.71439,2.01812,3.640367,0.986257,7.496084,39.16346,47.77658,146.8748,175.9579,-8.613124,0,StepFinishByFunction,-4.4,-5.5,-4.72,-4.95
1,1,1,3,1,1,20,48,靜置,04/01/2025 14:08:38,600,00:00:10:00.000,3.707867,0,0,0,0,39.16346,47.77658,146.8748,175.9579,-8.613124,0,StepFinishByCut_T,-4.35,-5.5,-4.69,-4.89
1,1,1,3,1,1,21,49,CC放電,04/01/2025 14:18:38,1726.173,00:00:28:46.173,3.656845,-1.996286,-3.520583,-0.957619,-7.300109,39.16346,48.7342,146.8748,179.4785,-9.570744,0,StepFinishByFunction,-4.34,-5.5,-4.68,-4.86
1,1,1,1,1,1,22,50,靜置,04/01/2025 14:47:24,3600,00:01:00:00.000,3.666514,0,0,0,0,39.16346,48.7342,146.8748,179.4785,-9.570744,0,StepFinishByCut_T,-4.34,-5.5,-4.7,-4.91
